condition,seed,mean_accuracy,std_accuracy,num_episodes
graphcl,42,0.5970000045746565,0.1645934346354272,100
no_graphcl,42,0.6800000018626452,0.19339079153518118,100
graphcl,43,0.5910000051558018,0.16738876568297484,100
no_graphcl,43,0.6470000021159649,0.1840950806574022,100
graphcl,44,0.5760000030696392,0.14568458665334832,100
no_graphcl,44,0.6450000040233135,0.17051392384574332,100
graphcl,45,0.5910000062733889,0.1709356577682433,100
no_graphcl,45,0.6450000037252903,0.1716828432932291,100
graphcl,46,0.5870000076293945,0.12779279986636735,100
no_graphcl,46,0.6530000028014183,0.14453718935624635,100
