episode,accuracy,loss,n_way,k_shot,q_query,support_indices,query_indices,support_query_overlap
0,0.5,3.8560822010040283,2,5,5,"[169, 165, 107, 202, 156, 11, 235, 240, 83, 224]","[141, 124, 115, 150, 176, 239, 230, 29, 23, 20]",[]
1,0.800000011920929,0.9636904001235962,2,5,5,"[191, 119, 122, 192, 173, 36, 56, 20, 215, 55]","[169, 157, 180, 110, 195, 46, 235, 28, 16, 51]",[]
2,0.6000000238418579,4.306150436401367,2,5,5,"[63, 204, 93, 29, 30, 103, 122, 148, 161, 192]","[22, 45, 66, 71, 228, 131, 120, 164, 127, 102]",[]
3,0.6000000238418579,5.518162727355957,2,5,5,"[202, 174, 102, 200, 194, 213, 239, 236, 73, 204]","[106, 110, 132, 141, 142, 237, 82, 228, 56, 214]",[]
4,0.8999999761581421,3.094719409942627,2,5,5,"[56, 82, 64, 36, 236, 152, 200, 186, 169, 192]","[81, 233, 11, 9, 86, 194, 127, 124, 203, 166]",[]
5,0.5,2.1997039318084717,2,5,5,"[56, 10, 92, 94, 57, 116, 122, 106, 198, 162]","[29, 31, 63, 26, 50, 203, 176, 171, 137, 124]",[]
6,0.800000011920929,2.4324584007263184,2,5,5,"[159, 165, 171, 128, 127, 29, 11, 1, 19, 35]","[189, 188, 162, 192, 152, 22, 97, 87, 94, 56]",[]
7,0.699999988079071,3.7772014141082764,2,5,5,"[85, 62, 6, 42, 7, 139, 180, 162, 165, 200]","[74, 36, 65, 49, 97, 103, 195, 131, 198, 107]",[]
8,0.699999988079071,2.4474470615386963,2,5,5,"[11, 236, 213, 42, 220, 156, 191, 113, 170, 175]","[44, 237, 80, 57, 231, 169, 124, 148, 119, 142]",[]
9,0.6000000238418579,6.135404109954834,2,5,5,"[228, 9, 28, 205, 51, 135, 199, 157, 162, 155]","[87, 18, 52, 240, 63, 167, 156, 159, 103, 109]",[]
10,0.10000000149011612,7.460537910461426,2,5,5,"[26, 97, 240, 63, 44, 115, 148, 102, 177, 104]","[212, 28, 237, 239, 207, 194, 162, 167, 203, 147]",[]
11,0.4000000059604645,1.8112308979034424,2,5,5,"[162, 109, 103, 150, 101, 8, 42, 207, 212, 59]","[200, 201, 180, 107, 105, 34, 18, 6, 240, 65]",[]
12,0.6000000238418579,4.424614906311035,2,5,5,"[202, 159, 139, 138, 133, 237, 207, 30, 29, 70]","[148, 166, 107, 188, 156, 55, 28, 46, 240, 31]",[]
13,0.699999988079071,1.047546625137329,2,5,5,"[240, 9, 46, 10, 45, 153, 116, 112, 198, 166]","[237, 239, 35, 26, 36, 127, 120, 191, 174, 173]",[]
14,0.5,3.872328996658325,2,5,5,"[51, 71, 29, 45, 42, 170, 185, 105, 173, 106]","[228, 21, 73, 93, 22, 107, 175, 127, 104, 177]",[]
15,0.800000011920929,2.600630283355713,2,5,5,"[139, 202, 104, 150, 176, 50, 49, 214, 29, 21]","[101, 153, 141, 112, 199, 87, 81, 83, 74, 42]",[]
16,0.699999988079071,2.7275443077087402,2,5,5,"[189, 200, 191, 203, 103, 214, 21, 18, 50, 93]","[122, 138, 132, 175, 155, 225, 11, 51, 46, 228]",[]
17,0.699999988079071,2.5022594928741455,2,5,5,"[172, 174, 153, 199, 102, 26, 59, 231, 8, 233]","[198, 171, 177, 155, 112, 85, 20, 80, 16, 226]",[]
18,0.699999988079071,3.4583346843719482,2,5,5,"[151, 104, 184, 170, 185, 35, 89, 92, 204, 237]","[153, 169, 191, 135, 106, 62, 10, 11, 86, 73]",[]
19,0.800000011920929,0.489556223154068,2,5,5,"[65, 240, 31, 55, 19, 122, 153, 194, 198, 156]","[73, 230, 44, 205, 226, 201, 162, 175, 200, 159]",[]
20,0.699999988079071,6.4822516441345215,2,5,5,"[29, 8, 215, 42, 87, 155, 199, 203, 173, 156]","[208, 18, 28, 27, 82, 161, 165, 115, 195, 103]",[]
21,0.699999988079071,1.1442290544509888,2,5,5,"[106, 155, 172, 186, 137, 213, 26, 97, 98, 16]","[110, 132, 173, 189, 177, 50, 94, 21, 59, 30]",[]
22,0.6000000238418579,5.506007194519043,2,5,5,"[203, 119, 194, 202, 176, 55, 36, 98, 8, 57]","[131, 110, 201, 124, 120, 85, 22, 233, 46, 230]",[]
23,0.800000011920929,1.7348251342773438,2,5,5,"[80, 36, 85, 239, 212, 143, 180, 138, 176, 177]","[45, 22, 93, 98, 225, 172, 194, 107, 139, 189]",[]
24,0.5,6.7411088943481445,2,5,5,"[142, 159, 162, 131, 106, 56, 70, 87, 80, 46]","[191, 128, 124, 119, 135, 213, 86, 81, 93, 29]",[]
25,0.800000011920929,0.40034133195877075,2,5,5,"[200, 161, 155, 112, 119, 6, 220, 35, 51, 226]","[148, 113, 176, 177, 164, 50, 56, 230, 228, 19]",[]
26,0.699999988079071,3.0428214073181152,2,5,5,"[139, 152, 175, 155, 194, 22, 52, 207, 8, 97]","[135, 127, 142, 106, 137, 55, 51, 19, 30, 46]",[]
27,0.6000000238418579,3.2695159912109375,2,5,5,"[52, 10, 65, 19, 45, 192, 177, 127, 191, 103]","[1, 98, 86, 97, 225, 167, 150, 143, 186, 176]",[]
28,0.4000000059604645,2.458643674850464,2,5,5,"[239, 31, 35, 71, 50, 133, 104, 141, 175, 120]","[225, 235, 69, 85, 228, 110, 180, 113, 102, 177]",[]
29,0.699999988079071,1.844408392906189,2,5,5,"[26, 31, 28, 27, 213, 150, 131, 159, 155, 151]","[70, 55, 69, 83, 52, 101, 166, 191, 189, 102]",[]
30,0.699999988079071,2.1495327949523926,2,5,5,"[101, 113, 171, 180, 105, 18, 225, 55, 81, 62]","[110, 165, 164, 127, 102, 83, 233, 230, 35, 98]",[]
31,0.699999988079071,5.43641996383667,2,5,5,"[233, 71, 89, 82, 29, 201, 155, 166, 104, 109]","[239, 204, 46, 55, 49, 115, 176, 191, 169, 105]",[]
32,0.6000000238418579,4.704146862030029,2,5,5,"[205, 62, 49, 87, 71, 174, 159, 110, 173, 150]","[234, 94, 9, 1, 212, 152, 148, 115, 141, 199]",[]
33,0.699999988079071,2.9285595417022705,2,5,5,"[173, 135, 198, 170, 119, 214, 236, 205, 7, 62]","[155, 122, 152, 107, 116, 59, 30, 8, 11, 31]",[]
34,0.8999999761581421,0.9520324468612671,2,5,5,"[226, 94, 28, 45, 42, 104, 191, 133, 110, 152]","[6, 36, 21, 85, 87, 166, 189, 137, 109, 174]",[]
35,0.699999988079071,4.20585298538208,2,5,5,"[226, 83, 205, 231, 93, 185, 113, 151, 203, 195]","[28, 31, 35, 27, 230, 167, 106, 107, 147, 155]",[]
36,0.5,4.172067642211914,2,5,5,"[20, 80, 55, 42, 97, 145, 147, 167, 173, 166]","[36, 94, 234, 26, 70, 151, 186, 120, 103, 201]",[]
37,0.6000000238418579,3.0380964279174805,2,5,5,"[1, 233, 208, 27, 207, 106, 166, 157, 104, 139]","[231, 44, 62, 71, 81, 175, 189, 185, 172, 177]",[]
38,0.8999999761581421,0.4103507995605469,2,5,5,"[231, 73, 59, 34, 7, 174, 102, 155, 148, 164]","[66, 18, 240, 50, 98, 194, 153, 202, 127, 113]",[]
39,0.699999988079071,3.6672255992889404,2,5,5,"[116, 186, 139, 201, 195, 28, 16, 20, 8, 85]","[143, 184, 166, 157, 176, 81, 35, 234, 55, 208]",[]
40,0.699999988079071,1.672739028930664,2,5,5,"[180, 141, 177, 159, 131, 85, 93, 9, 63, 52]","[200, 109, 198, 169, 173, 71, 98, 56, 226, 73]",[]
41,0.6000000238418579,2.5073413848876953,2,5,5,"[230, 20, 27, 239, 28, 199, 124, 170, 186, 189]","[22, 35, 52, 80, 208, 141, 105, 162, 147, 180]",[]
42,0.800000011920929,3.3865253925323486,2,5,5,"[156, 147, 104, 200, 120, 0, 74, 23, 81, 82]","[107, 167, 169, 170, 195, 55, 70, 205, 87, 207]",[]
43,0.699999988079071,5.616998195648193,2,5,5,"[161, 132, 116, 185, 194, 35, 31, 81, 82, 69]","[102, 145, 115, 188, 155, 1, 212, 89, 235, 237]",[]
44,0.800000011920929,3.518418788909912,2,5,5,"[127, 159, 116, 161, 186, 86, 1, 26, 65, 80]","[153, 119, 185, 103, 201, 20, 64, 57, 19, 235]",[]
45,0.800000011920929,2.674473762512207,2,5,5,"[162, 192, 173, 164, 194, 56, 19, 49, 236, 35]","[172, 161, 106, 152, 159, 9, 44, 74, 28, 27]",[]
46,0.699999988079071,1.7554115056991577,2,5,5,"[145, 156, 169, 194, 143, 70, 44, 97, 45, 18]","[148, 151, 170, 132, 141, 31, 6, 86, 205, 220]",[]
47,0.5,2.437062978744507,2,5,5,"[132, 155, 103, 152, 148, 23, 11, 231, 19, 70]","[188, 138, 124, 128, 133, 235, 234, 22, 225, 36]",[]
48,0.699999988079071,3.1094741821289062,2,5,5,"[94, 204, 235, 63, 239, 131, 159, 148, 141, 133]","[65, 20, 52, 73, 208, 161, 120, 186, 101, 155]",[]
49,0.699999988079071,3.2506790161132812,2,5,5,"[139, 142, 120, 132, 202, 74, 86, 66, 0, 16]","[166, 194, 156, 113, 102, 70, 89, 46, 56, 207]",[]
50,0.699999988079071,5.983614921569824,2,5,5,"[142, 173, 188, 189, 161, 233, 1, 19, 10, 65]","[132, 103, 203, 164, 135, 98, 20, 85, 45, 213]",[]
51,0.10000000149011612,2.712956190109253,2,5,5,"[57, 231, 228, 20, 31, 115, 166, 116, 191, 104]","[19, 98, 235, 30, 70, 175, 169, 131, 120, 200]",[]
52,0.800000011920929,4.21748161315918,2,5,5,"[83, 35, 214, 98, 21, 201, 155, 185, 200, 176]","[27, 228, 1, 235, 215, 189, 135, 170, 101, 166]",[]
53,0.5,0.8386344909667969,2,5,5,"[65, 27, 236, 36, 6, 104, 170, 122, 102, 109]","[52, 8, 10, 35, 85, 166, 105, 173, 115, 101]",[]
54,0.5,1.295684576034546,2,5,5,"[112, 167, 109, 202, 124, 93, 226, 1, 208, 205]","[166, 151, 127, 135, 152, 0, 50, 36, 225, 234]",[]
55,0.0,1.8365005254745483,2,5,5,"[184, 156, 103, 170, 145, 214, 230, 235, 240, 215]","[159, 162, 151, 131, 142, 65, 204, 205, 63, 22]",[]
56,0.6000000238418579,2.1731619834899902,2,5,5,"[207, 98, 18, 73, 52, 185, 128, 133, 116, 101]","[230, 231, 34, 21, 86, 119, 176, 166, 102, 174]",[]
57,0.6000000238418579,4.628365993499756,2,5,5,"[156, 164, 189, 199, 161, 16, 31, 80, 1, 94]","[110, 201, 185, 119, 133, 204, 65, 74, 85, 66]",[]
58,0.6000000238418579,3.5056509971618652,2,5,5,"[139, 155, 177, 201, 138, 234, 45, 81, 92, 49]","[153, 164, 120, 127, 124, 31, 97, 70, 71, 237]",[]
