episode,accuracy,loss,n_way,k_shot,q_query,support_indices,query_indices,support_query_overlap
0,0.5,2.476686954498291,2,5,5,"[169, 165, 107, 202, 156, 11, 235, 240, 83, 224]","[141, 124, 115, 150, 176, 239, 230, 29, 23, 20]",[]
1,0.800000011920929,1.6121432781219482,2,5,5,"[191, 119, 122, 192, 173, 36, 56, 20, 215, 55]","[169, 157, 180, 110, 195, 46, 235, 28, 16, 51]",[]
2,0.699999988079071,1.7088600397109985,2,5,5,"[63, 204, 93, 29, 30, 103, 122, 148, 161, 192]","[22, 45, 66, 71, 228, 131, 120, 164, 127, 102]",[]
3,1.0,0.03714090958237648,2,5,5,"[202, 174, 102, 200, 194, 213, 239, 236, 73, 204]","[106, 110, 132, 141, 142, 237, 82, 228, 56, 214]",[]
4,0.800000011920929,3.253084182739258,2,5,5,"[56, 82, 64, 36, 236, 152, 200, 186, 169, 192]","[81, 233, 11, 9, 86, 194, 127, 124, 203, 166]",[]
5,0.4000000059604645,6.8517327308654785,2,5,5,"[56, 10, 92, 94, 57, 116, 122, 106, 198, 162]","[29, 31, 63, 26, 50, 203, 176, 171, 137, 124]",[]
6,0.800000011920929,0.964051365852356,2,5,5,"[159, 165, 171, 128, 127, 29, 11, 1, 19, 35]","[189, 188, 162, 192, 152, 22, 97, 87, 94, 56]",[]
7,0.699999988079071,2.1852290630340576,2,5,5,"[85, 62, 6, 42, 7, 139, 180, 162, 165, 200]","[74, 36, 65, 49, 97, 103, 195, 131, 198, 107]",[]
8,0.30000001192092896,5.491511344909668,2,5,5,"[11, 236, 213, 42, 220, 156, 191, 113, 170, 175]","[44, 237, 80, 57, 231, 169, 124, 148, 119, 142]",[]
9,0.699999988079071,5.737051963806152,2,5,5,"[228, 9, 28, 205, 51, 135, 199, 157, 162, 155]","[87, 18, 52, 240, 63, 167, 156, 159, 103, 109]",[]
10,0.20000000298023224,6.897851467132568,2,5,5,"[26, 97, 240, 63, 44, 115, 148, 102, 177, 104]","[212, 28, 237, 239, 207, 194, 162, 167, 203, 147]",[]
11,0.6000000238418579,4.461134433746338,2,5,5,"[162, 109, 103, 150, 101, 8, 42, 207, 212, 59]","[200, 201, 180, 107, 105, 34, 18, 6, 240, 65]",[]
12,0.5,8.345821380615234,2,5,5,"[202, 159, 139, 138, 133, 237, 207, 30, 29, 70]","[148, 166, 107, 188, 156, 55, 28, 46, 240, 31]",[]
13,0.4000000059604645,3.7347607612609863,2,5,5,"[240, 9, 46, 10, 45, 153, 116, 112, 198, 166]","[237, 239, 35, 26, 36, 127, 120, 191, 174, 173]",[]
14,0.5,3.420891284942627,2,5,5,"[51, 71, 29, 45, 42, 170, 185, 105, 173, 106]","[228, 21, 73, 93, 22, 107, 175, 127, 104, 177]",[]
15,0.699999988079071,4.187443733215332,2,5,5,"[139, 202, 104, 150, 176, 50, 49, 214, 29, 21]","[101, 153, 141, 112, 199, 87, 81, 83, 74, 42]",[]
16,0.6000000238418579,3.576796770095825,2,5,5,"[189, 200, 191, 203, 103, 214, 21, 18, 50, 93]","[122, 138, 132, 175, 155, 225, 11, 51, 46, 228]",[]
17,0.4000000059604645,6.520124912261963,2,5,5,"[172, 174, 153, 199, 102, 26, 59, 231, 8, 233]","[198, 171, 177, 155, 112, 85, 20, 80, 16, 226]",[]
18,0.8999999761581421,2.2100253105163574,2,5,5,"[151, 104, 184, 170, 185, 35, 89, 92, 204, 237]","[153, 169, 191, 135, 106, 62, 10, 11, 86, 73]",[]
19,0.699999988079071,6.731241703033447,2,5,5,"[65, 240, 31, 55, 19, 122, 153, 194, 198, 156]","[73, 230, 44, 205, 226, 201, 162, 175, 200, 159]",[]
20,0.6000000238418579,9.240145683288574,2,5,5,"[29, 8, 215, 42, 87, 155, 199, 203, 173, 156]","[208, 18, 28, 27, 82, 161, 165, 115, 195, 103]",[]
21,0.6000000238418579,2.9893524646759033,2,5,5,"[106, 155, 172, 186, 137, 213, 26, 97, 98, 16]","[110, 132, 173, 189, 177, 50, 94, 21, 59, 30]",[]
22,0.5,4.666561603546143,2,5,5,"[203, 119, 194, 202, 176, 55, 36, 98, 8, 57]","[131, 110, 201, 124, 120, 85, 22, 233, 46, 230]",[]
23,0.800000011920929,1.5394845008850098,2,5,5,"[80, 36, 85, 239, 212, 143, 180, 138, 176, 177]","[45, 22, 93, 98, 225, 172, 194, 107, 139, 189]",[]
24,0.30000001192092896,7.3596367835998535,2,5,5,"[142, 159, 162, 131, 106, 56, 70, 87, 80, 46]","[191, 128, 124, 119, 135, 213, 86, 81, 93, 29]",[]
25,0.6000000238418579,5.857559680938721,2,5,5,"[200, 161, 155, 112, 119, 6, 220, 35, 51, 226]","[148, 113, 176, 177, 164, 50, 56, 230, 228, 19]",[]
26,0.699999988079071,4.729398250579834,2,5,5,"[139, 152, 175, 155, 194, 22, 52, 207, 8, 97]","[135, 127, 142, 106, 137, 55, 51, 19, 30, 46]",[]
27,0.699999988079071,2.1842687129974365,2,5,5,"[52, 10, 65, 19, 45, 192, 177, 127, 191, 103]","[1, 98, 86, 97, 225, 167, 150, 143, 186, 176]",[]
28,0.6000000238418579,2.0264201164245605,2,5,5,"[239, 31, 35, 71, 50, 133, 104, 141, 175, 120]","[225, 235, 69, 85, 228, 110, 180, 113, 102, 177]",[]
29,0.5,3.031836748123169,2,5,5,"[26, 31, 28, 27, 213, 150, 131, 159, 155, 151]","[70, 55, 69, 83, 52, 101, 166, 191, 189, 102]",[]
30,0.4000000059604645,5.237330436706543,2,5,5,"[101, 113, 171, 180, 105, 18, 225, 55, 81, 62]","[110, 165, 164, 127, 102, 83, 233, 230, 35, 98]",[]
31,0.699999988079071,6.3213348388671875,2,5,5,"[233, 71, 89, 82, 29, 201, 155, 166, 104, 109]","[239, 204, 46, 55, 49, 115, 176, 191, 169, 105]",[]
32,0.6000000238418579,11.708549499511719,2,5,5,"[205, 62, 49, 87, 71, 174, 159, 110, 173, 150]","[234, 94, 9, 1, 212, 152, 148, 115, 141, 199]",[]
