query_molecule_id,query_index,query_smiles,ground_truth_label,predicted_class,correct,distance_to_class_0_prototype,distance_to_class_1_prototype,distance_gap_confidence,most_similar_support_id,most_similar_support_index,cosine_similarity_to_nearest_support,most_similar_support_smiles,figure_path
BACE_118,116,Fc1ccc(cc1-c1cncnc1)[C@]1([NH+]=C(N)c2c1cccc2F)c1cc(ncc1)C(F)(F)F,0,1,False,77.78750610351562,63.084007263183594,14.703498840332031,BACE_90,89,0.7684117555618286,FC(F)(F)c1cc(ccc1)C[NH2+]C[C@@H](O)[C@@H](NC(=O)C=1C=C(N2CCCC2=O)C(=O)N(C=1)C1CCCC1)Cc1ccccc1,outputs\core_pipeline\xai\figures\query_0_116.png
BACE_171,169,O=C1N(C)C(=NC(=C1)[C@H]1C[C@H]1c1ccc(cc1)-c1cc(ccc1)C)N,0,1,False,58.9095458984375,48.33062744140625,10.57891845703125,BACE_9,8,0.7343559265136719,O1c2c(cc(cc2)CC)[C@@H]([NH2+]C[C@@H](O)[C@H]2NC(=O)C=3C=CC(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,outputs\core_pipeline\xai\figures\query_1_169.png
BACE_111,109,Clc1cc2CC([NH+]=C(N[C@@H](Cc3ccccc3)C=3NC(=O)c4c(N=3)ccnc4)c2cc1)(C)C,0,1,False,59.37077331542969,50.0400505065918,9.33072280883789,BACE_9,8,0.7289749979972839,O1c2c(cc(cc2)CC)[C@@H]([NH2+]C[C@@H](O)[C@H]2NC(=O)C=3C=CC(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,outputs\core_pipeline\xai\figures\query_2_109.png
BACE_188,186,[NH+]=1[C@](N=C(c2ccccc2)C=1N)(C)c1cc(ccc1)-c1cccnc1,0,1,False,55.94381332397461,50.14740753173828,5.796405792236328,BACE_109,107,0.7617782950401306,S1C[C@H](NC(OC(C)(C)C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CSC\C=C\C1)[C@@H](O)C[C@H](C(=O)N[C@@H](C(C)C)C(=O)NCCCC)C,outputs\core_pipeline\xai\figures\query_3_186.png
BACE_152,150,Fc1cc(N2C3(CC[NH+](CC3)Cc3ccc(NC(=O)C)cc3)C(=NC2=O)NC2CCCCC2)ccc1,0,1,False,66.64920043945312,49.04743194580078,17.601768493652344,BACE_47,46,0.7865608334541321,O1c2c(cc(cc2)CC)[C@@H]([NH2+]C[C@@H](O)[C@H]2NC(=O)CCCCCCc3cc(C2)ccc3)CC12CCC2,outputs\core_pipeline\xai\figures\query_4_150.png
BACE_17,16,Fc1cc(cc(F)c1)C[C@H](NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@H](O)[C@@H]1[NH2+]C[C@H](OCc2ccccc2)C1,1,0,False,44.58184814453125,47.946678161621094,3.3648300170898438,BACE_21,20,0.9173035621643066,Fc1ccc(cc1)C[C@H](NC(=O)C)[C@H](O)C[NH2+][C@H]1CC2(Oc3ncc(cc13)CC(C)(C)C)CCC2,
BACE_52,51,Fc1ccc(F)cc1-c1cc(ccc1)[C@]1(N=C(N)N(C)C1=O)c1ccncc1,1,1,True,59.44809341430664,52.52745819091797,6.920635223388672,BACE_164,162,0.7334313988685608,O=C1N(Cc2ccc(cc2)CNC(=O)Nc2ccc(cc2)C#N)C(N[C@@]1(CC(C)C)C)=N,
BACE_264,237,O=C1NC(CN1Cc1ccccc1)(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cc(N(C)C)ccc1,1,0,False,56.24559020996094,57.54349899291992,1.2979087829589844,BACE_109,107,0.6408772468566895,S1C[C@H](NC(OC(C)(C)C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CSC\C=C\C1)[C@@H](O)C[C@H](C(=O)N[C@@H](C(C)C)C(=O)NCCCC)C,
BACE_253,226,Fc1c2c(ccc1)C([NH+]=C2N)(c1cc(ccc1)-c1cncnc1)c1cc(ncc1)C(F)F,1,1,True,75.6624526977539,61.43351364135742,14.228939056396484,BACE_90,89,0.7126823663711548,FC(F)(F)c1cc(ccc1)C[NH2+]C[C@@H](O)[C@@H](NC(=O)C=1C=C(N2CCCC2=O)C(=O)N(C=1)C1CCCC1)Cc1ccccc1,
BACE_93,92,O1C[C@H](NC(=O)c2cc(cc(c2)[C@@H](O)[NH2+][C@H](C\C=C\C1)c1ccccc1)C)[C@H](O)C[NH2+]Cc1cc(ccc1)C(C)C,1,1,True,45.97856521606445,41.85866165161133,4.119903564453125,BACE_109,107,0.8971556425094604,S1C[C@H](NC(OC(C)(C)C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CSC\C=C\C1)[C@@H](O)C[C@H](C(=O)N[C@@H](C(C)C)C(=O)NCCCC)C,
